,GEOID,City,total,total_workforce,total_income,pct_of_wf_in_weapons,estimated_income_from_weapons
357,4817540,Cranfills Gap,1,98,5022500,0.01020408163265306,51249.99999999999
358,4817811,Cross Mountain,1,2026,266256400,0.0004935834155972359,131419.74333662388
359,4817816,Cross Plains,1,460,22851200,0.002173913043478261,49676.52173913043
360,4817948,Crowell,1,216,11665100,0.004629629629629629,54005.09259259259
361,4813108,Carthage,1,2722,188737800,0.0003673769287288758,69337.91329904481
362,4819120,Danbury,1,618,48888600,0.0016181229773462784,79107.76699029126
363,4819672,De Leon,1,1030,40815200,0.000970873786407767,39626.40776699029
364,4820308,Diboll,1,1660,79879600,0.0006024096385542169,48120.24096385542
365,4820344,Dickinson,1,10698,737722900,9.347541596560104e-05,68958.95494484951
366,4820464,Dimmitt,1,2238,103646800,0.00044682752457551384,46312.24307417337
367,4820540,DISH,1,277,24976300,0.0036101083032490976,90167.14801444043
368,4821484,Dublin,1,1601,100916600,0.0006246096189881324,63033.47907557776
369,4812532,Canyon,1,7973,418080800,0.00012542330364981815,52437.07512855889
370,4821904,Early,1,1520,81960300,0.0006578947368421052,53921.25
371,4812040,Cameron,1,2103,116561400,0.00047551117451260106,55426.2482168331
372,4822660,Edinburg,1,45416,2293724500,2.201867183371499e-05,50504.767042452004
373,4822905,El Cenizo,1,871,27119100,0.001148105625717566,31135.591274397244
374,4811940,Callender Lake,1,370,46399500,0.002702702702702703,125404.05405405407
375,4809160,Boerne,1,8325,686897400,0.00012012012012012012,82510.1981981982
376,4838776,Kemah,1,1052,83518000,0.0009505703422053232,79389.73384030418
377,4808236,Big Spring,1,10719,640806000,9.329228472805298e-05,59782.25580744472
378,4845804,McLendon-Chisholm,1,1802,222962000,0.0005549389567147614,123730.29966703663
379,4846584,Marble Falls,1,3535,193868900,0.0002828854314002829,54842.6874115983
380,4846824,Mart,1,758,41838000,0.0013192612137203166,55195.250659630605
381,4846848,Martindale,1,461,31496100,0.0021691973969631237,68321.25813449024
382,4847268,Maypearl,1,522,26802800,0.0019157088122605363,51346.360153256705
383,4847337,Meadows Place,1,2739,172077400,0.0003650967506389193,62824.899598393575
384,4847796,Merkel,1,1003,54593700,0.0009970089730807576,54430.40877367896
385,4848324,Milam,1,710,57381500,0.0014084507042253522,80819.01408450704
386,4848768,Mission,1,35780,2050095100,2.7948574622694243e-05,57297.235885969814
387,4848772,Mission Bend,1,19825,996767500,5.044136191677175e-05,50278.310214375786
388,4851654,Nocona Hills,1,225,18129300,0.0044444444444444444,80574.66666666667
389,4805612,Bardwell,1,311,12690100,0.003215434083601286,40804.18006430868
390,4853130,Oak Point,1,2311,207730800,0.00043271311120726956,89887.84076157508
391,4853388,Odessa,1,58053,3686477500,1.7225638640552597e-05,63501.92927152773
392,4854048,Onalaska,1,1223,77233900,0.0008176614881439084,63151.18560915781
393,4855056,Paradise,1,197,11598200,0.005076142131979695,58874.1116751269
394,4856485,Pecan Hill,1,344,22395600,0.0029069767441860465,65103.48837209302
395,4857800,Piney Point Village,1,1516,527944400,0.0006596306068601583,348248.28496042214
396,4858904,Portland,1,9885,723168000,0.00010116337885685381,73158.11836115326
397,4859012,Post,1,1272,76373100,0.0007861635220125787,60041.74528301887
398,4859132,Pottsboro,1,1287,84653100,0.000777000777000777,65775.52447552448
399,4860188,Quitman,1,819,56566900,0.001221001221001221,69068.25396825396
400,4846500,Manvel,1,5497,415600900,0.00018191740949608878,75605.03911224304
401,4845750,McKinney Acres,1,368,19726400,0.002717391304347826,53604.34782608695
402,4839304,Kingsland,1,3021,255292500,0.00033101621979476995,84505.95829195631
403,4807000,Beaumont,1,53412,3303203100,1.8722384482887742e-05,61843.838463266686
404,4840168,Lacy-Lakeview,1,3689,178387600,0.0002710761724044456,48356.62781241528
405,4840624,Lake Kiowa,1,1129,119215000,0.0008857395925597874,105593.44552701506
406,4807486,Belterra,1,3558,381978600,0.0002810567734682406,107357.67284991569
407,4841188,Lampasas,1,3479,208097500,0.0002874389192296637,59815.32049439494
408,4807408,Bellmead,1,4164,188186200,0.00024015369836695484,45193.61191162344
409,4841440,La Porte,1,17908,1455898600,5.584096493187402e-05,81298.78266696449
410,4841644,Latexo,1,129,6261000,0.007751937984496124,48534.88372093023
411,4841704,Laughlin AFB,1,1583,63316800,0.0006317119393556538,39997.97852179406
412,4807396,Bellevue,1,200,9945800,0.005,49729.0
413,4842568,Liberty,1,3334,202453600,0.00029994001199760045,60723.9352129574
414,4842616,Liberty City,1,1085,65002400,0.0009216589861751152,59910.04608294931
415,4842844,Linden,1,647,34455100,0.0015455950540958269,53253.632148377124
416,4842868,Lindsay,1,597,53785100,0.0016750418760469012,90092.29480737018
417,4807156,Bee Cave,1,4554,553349100,0.00021958717610891525,121508.36627140976
418,4843066,Little River-Academy,1,1208,58855100,0.0008278145695364238,48721.10927152318
419,4843144,Llano,1,1707,89024200,0.0005858230814294083,52152.43116578793
420,4843636,Lone Oak,1,302,14764900,0.0033112582781456954,48890.39735099338
421,4844020,Lorena,1,961,66719400,0.001040582726326743,69427.0551508845
422,4813828,Center Point,1,1096,52526900,0.0009124087591240876,47926.00364963504
423,4844308,Lowry Crossing,1,949,72126600,0.001053740779768177,76002.73972602739
424,4845324,Mabank,1,1873,109339700,0.0005339028296849973,58376.7752269087
425,4844176,Lott,1,479,19617600,0.0020876826722338203,40955.323590814194
