,GEOID,City,total,total_workforce,total_income,pct_of_wf_in_weapons,estimated_income_from_weapons
61,4856498,Pecan Plantation,40,2574,353516800,0.01554001554001554,5493656.565656566
62,4841212,Lancaster,39,20549,1048508800,0.0018979025743345176,1989967.5507323958
63,4863572,Rowlett,38,35350,2428696200,0.001074964639321075,2610762.5346534653
64,4869800,Springtown,38,1765,80075400,0.02152974504249292,1724002.9461756374
65,4822588,Edgecliff Village,37,1727,123116800,0.021424435437174292,2637707.9328314997
66,4861604,Reno,36,1286,85972500,0.027993779160186624,2406695.1788491444
67,4805000,Austin,36,582046,45862883600,6.185078155334801e-05,2836655.194950227
68,4861196,Red Oak,35,7608,481635400,0.004600420609884332,2215725.4206098844
69,4880356,Wylie,35,31644,2006825600,0.001106054860321072,2219659.2086967514
70,4801000,Abilene,34,62132,3437579700,0.0005472220433914891,1881119.387755102
71,4808860,Blue Mound,33,1169,56647900,0.028229255774165955,1599128.0581693756
72,4824912,Everman,30,2648,135242200,0.011329305135951661,1532200.1510574017
73,4862828,Rockwall,29,25411,2164917600,0.0011412380465152887,2470686.3326905672
74,4816696,Corinth,28,12363,1043897100,0.002264822454096902,2364241.5918466393
75,4856640,Pelican Bay,28,701,35270000,0.039942938659058486,1408787.446504993
76,4859696,Prosper,27,13864,1680863800,0.0019474899019042123,3273465.2769763414
77,4864064,Sachse,27,15593,1369668000,0.0017315462066311807,2371643.429744116
78,4833848,Highland Village,26,8670,966896400,0.0029988465974625142,2899573.979238754
79,4824348,Ennis,25,10912,550492100,0.0022910557184750734,1261208.073680352
80,4835000,Houston,25,1196566,81591507700,2.0893122485512707e-05,1704701.3641537533
81,4813075,Carter,24,883,39272500,0.027180067950169876,1067429.2185730464
82,4829972,Godley,24,828,48085600,0.028985507246376812,1393785.5072463767
83,4829840,Glenn Heights,23,8335,446510600,0.0027594481103779245,1232122.8314337132
84,4873710,Trophy Club,23,6877,878819700,0.0033444816053511705,2939196.3210702343
85,4838548,Keene,22,2961,129814000,0.007429922323539345,964507.9365079366
86,4875236,Venus,22,1646,95930600,0.013365735115431349,1282182.9890643985
87,4817648,Cresson,22,517,31924300,0.0425531914893617,1358480.8510638298
88,4819570,DeCordova,21,1317,154298800,0.015945330296127564,2460345.3302961276
89,4832720,Haslet,20,1288,159098200,0.015527950310559006,2470468.944099379
90,4855020,Pantego,19,1291,112755400,0.01471727343144849,1659452.052672347
91,4862504,Roanoke,18,5288,457842600,0.00340393343419062,1558465.7337367623
92,4841404,Lantana,18,5377,668960400,0.0033475915938255534,2239406.2116421796
93,4803340,Annetta North,17,279,47990100,0.06093189964157706,2924127.9569892474
94,4825224,Fairview,17,4276,568625300,0.003975678203928906,2260671.211412535
95,4834865,Horseshoe Bend,17,109,20649500,0.1559633027522936,3220564.2201834866
96,4877620,Westlake,17,565,209305200,0.03008849557522124,6297678.584070796
